id,video,text,time_sec,YOUR_is_evaluative,YOUR_dimension,YOUR_polarity,auto_eval,auto_dim,auto_pol
1,震撼世界的72天：巴黎公社为何爆发？又为何失败？【,戴高乐时期法国生活水平并没有很高,2613.2,,,,yes,剧情,-
2,“鲁智深：林冲？好吧那我输的不冤”,林冲数值机制可能都要压鲁大师武松一头，但良好的出身和性格会让他吃大亏，,98.3,,,,yes,剧情,0
3,如何成为<班级面壁人>,这两集把上上集两个没有高光的角色都补了高光呀,347.7,,,,yes,剧情,+
4,错位的时空，命运的交织。,还有反转？,153.0,,,,yes,剧情,0
5,BV1GyZYYNErW.js,这是一口气看完，这个系列更了几年了，剧情肯定会推的,669.8,,,,unknown,,
6,开播一集！就火爆全球的神作？深扒你所不知道的神探故,主要剧本太牛了,63.7,,,,yes,剧情,+
7,BV1GyZYYNErW.js,还有看斗2,624.2,,,,unknown,,
8,如何成为<班级面壁人>,谋士以身入局，以天下人为棋,374.9,,,,yes,剧情,+
9,BV1LSoyYqEuU.js,↑↑↑她不是芙蓉的演员,2190.7,,,,unknown,,
10,BV1GyZYYNErW.js,近卫军2.0:伤害s，防疫a,788.2,,,,unknown,,
11,《绝区零》星徽骑士EP丨拂晓之空 闪耀之誓,浓浓的昭和味儿。,40.3,,,,yes,音乐,0
12,我的世界克苏鲁全集：一口气看完,阿曼达变异后的同款眼睛,2233.6,,,,yes,画面,0
13,《绝区零》星徽骑士EP丨拂晓之空 闪耀之誓,感觉这个发型很会打牌的样子,46.1,,,,yes,画面,0
14,震撼世界的72天：巴黎公社为何爆发？又为何失败？【,这里真笑了,2026.0,,,,yes,剧情,+
15,游戏科学新作《黑神话：悟空》13分钟实机演示,针不戳！！,4.5,,,,yes,整体,+
16,震撼世界的72天：巴黎公社为何爆发？又为何失败？【,打不过别人，还守不过吗？对吧法国,472.6,,,,yes,剧情,-
17,全程细节伏笔隐喻？一刷看不懂，二刷就上头的高智商犯,哈哈，我看了一下就他最明显，可能有诈，故意选了一张别的,88.9,,,,yes,细节,0
18,我的世界克苏鲁全集：一口气看完,虽然暴政，但是起码救回来了,3736.1,,,,yes,剧情,0
19,错位的时空，命运的交织。,太强了吧,89.0,,,,yes,整体,+
20,海龟汤（2）,学生是花经院，画老师人像的时候手一抖给画上老师抹脖了,613.2,,,,yes,剧情,0
21,海龟汤（2）,【恐怖】,59.4,,,,yes,整体,0
22,反转悬疑神剧！凶手死后继续作案，福尔摩斯来都得懵圈,老天这个眼睛也太大了,289.5,,,,yes,画面,0
23,BV1BtZJYBE4G.js,这对比不对吧，后者是赔世界战争的总额所以高的离谱，这是两个国家而已，50亿法郎的确太过分了，并且就是德国人这里要的太狠才导致一战后被法国人报复，纯属活该,2421.8,,,,unknown,,
24,BV1BtZJYBE4G.js,民族主义大于当时的思想意识形态，这点在苏芬战争也有体现,2053.5,,,,unknown,,
25,BV1GyZYYNErW.js,吸冰吸大了。,856.5,,,,unknown,,
26,BV1LSoyYqEuU.js,哇，还有耐透,2181.2,,,,unknown,,
27,“鲁智深：林冲？好吧那我输的不冤”,62斤的水磨禅杖一巴掌就拍回去了,73.9,,,,yes,画面,+
28,开播一集！就火爆全球的神作？深扒你所不知道的神探故,前几天又重温了，真好看啊,42.5,,,,yes,整体,+
29,"为什么中国人对一道菜的最高评价是""下饭""?",现在的全麦面粉都是加了其他东西的，并非100%的全麦,323.5,,,,yes,细节,0
30,BV1BtZJYBE4G.js,最浪漫的时刻,1755.1,,,,unknown,,
31,全程细节伏笔隐喻？一刷看不懂，二刷就上头的高智商犯,其实所有魔术都挺扯淡的，不过没必要纠结，好看就行,810.4,,,,yes,整体,+
32,BV1GyZYYNErW.js,解锁成就：骷髅使者,318.5,,,,unknown,,
33,《崩坏：星穹铁道》动画短片：「那安息的长夜」,动画太神了！,15.5,,,,yes,整体,+
34,BV1LSoyYqEuU.js,来财 来,1049.4,,,,unknown,,
35,模仿不同国家的气象主播，差别真的很大！！当然最经典,渔舟唱晚的dna响了,102.8,,,,yes,音乐,0
36,《绝区零》星徽骑士EP丨拂晓之空 闪耀之誓,特摄特有素材复用（）,117.9,,,,yes,画面,0
37,BV1GyZYYNErW.js,前面的说有肉山的那个人站着，你是不是玩泰拉瑞亚的因为只有泰拉瑞亚里才有肉山。,285.7,,,,unknown,,
38,BV1GyZYYNErW.js,边祈祷边射击,1483.8,,,,unknown,,
39,《崩坏：星穹铁道》动画短片：「那安息的长夜」,这段有点像《致不灭的你》皮欧兰跟不死对话的感觉,303.1,,,,yes,叙事手法,0
40,BV1LSoyYqEuU.js,隐士：资金加倍(最高20),251.2,,,,unknown,,
41,BV1BtZJYBE4G.js,这是真正属于人类的浪漫,1050.5,,,,unknown,,
42,"为什么中国人对一道菜的最高评价是""下饭""?",建议直接封神,73.7,,,,yes,整体,+
43,"为什么中国人对一道菜的最高评价是""下饭""?",蒸烤一体机一定要看多长时间能上蒸汽，快的几分钟，慢的得半个小时,700.4,,,,yes,细节,0
44,全程细节伏笔隐喻？一刷看不懂，二刷就上头的高智商犯,这里是把方块七的下面一张牌抽出来一点，这样在拨牌的时候方块七停留时间更长，自然记得就是方块七,79.1,,,,yes,细节,0
45,BV1GyZYYNErW.js,三国鼎立,2717.6,,,,unknown,,
46,BV1BtZJYBE4G.js,连被德国暴打都这么潇洒,1146.1,,,,unknown,,
47,全程细节伏笔隐喻？一刷看不懂，二刷就上头的高智商犯,其实，他们都玩不过班纳,671.0,,,,yes,剧情,0
48,BV1GyZYYNErW.js,地狱中的房子,1162.7,,,,unknown,,
49,BV1GyZYYNErW.js,那克苏鲁呢？,2830.7,,,,unknown,,
50,BV1BtZJYBE4G.js,达瓦里希！,1561.0,,,,unknown,,
51,反转悬疑神剧！凶手死后继续作案，福尔摩斯来都得懵圈,我猜对了，果然三是为了查案,633.6,,,,yes,剧情,0
52,模仿不同国家的气象主播，差别真的很大！！当然最经典,最后的气象主播太经典了！,101.4,,,,yes,整体,+
53,海龟汤（2）,《王瀚哲素质真差》,14.8,,,,yes,演技,-
54,BV1GyZYYNErW.js,这特别好吃的，酒馆大肠做的面条，超级好吃的，好吃的比我家的饭都要好吃，1200 9000 9990 9000倍。,146.2,,,,unknown,,
55,BV1BtZJYBE4G.js,现在欧洲还在坚持,1897.7,,,,unknown,,
56,《崩坏：星穹铁道》动画短片：「那安息的长夜」,动画绝了！,192.2,,,,yes,画面,+
57,我的世界克苏鲁全集：一口气看完,确实，但是不叫泽洛斯卫士，他们科技树点歪了，点到了研发上。,1535.0,,,,yes,剧情,0
58,反转悬疑神剧！凶手死后继续作案，福尔摩斯来都得懵圈,等一等，桃井怎么会比假装从外地赶回来的老袁更晚到达,1200.3,,,,yes,剧情,-
59,BV1GyZYYNErW.js,草，真的好高,215.3,,,,unknown,,
60,震撼世界的72天：巴黎公社为何爆发？又为何失败？【,自古以来，面对坚城没有绝对优势的兵力时最好的办法就是围而不攻,461.0,,,,yes,剧情,0
61,BV1GyZYYNErW.js,赞美泽洛斯皇帝，我们终于能打造基岩制品了,429.7,,,,unknown,,
62,游戏科学新作《黑神话：悟空》13分钟实机演示,这里土地公说“像”，也暗示了剧情,299.5,,,,yes,剧情,0
63,BV1LSoyYqEuU.js,没必要纠结魔不魔法，剧情好看就行了,2403.1,,,,unknown,,
64,如何成为<班级面壁人>,这才是真正的谋士已身入局，举棋胜天半子,353.0,,,,yes,剧情,+
65,游戏科学新作《黑神话：悟空》13分钟实机演示,注意这里右下角只有一个“猿”字，拿了武器之后多了一个“狼”,239.1,,,,yes,细节,0
66,如何成为<班级面壁人>,别搞别搞，哪来的刀子呀？刚看完MVP动画，怎么又来了个刀子？,373.4,,,,yes,剧情,-
67,模仿不同国家的气象主播，差别真的很大！！当然最经典,气象主播模仿秀太真实了！,31.7,,,,yes,演技,+
68,游戏科学新作《黑神话：悟空》13分钟实机演示,暂停可以发现这翅膀没有残影，很用心了,112.3,,,,yes,细节,+
69,BV1GyZYYNErW.js,鲁德有点超标啊,3804.2,,,,unknown,,
70,BV1LSoyYqEuU.js,玩椅子笑得象是,674.3,,,,unknown,,
71,BV1BtZJYBE4G.js,更是听得懂,1894.5,,,,unknown,,
72,开播一集！就火爆全球的神作？深扒你所不知道的神探故,这里他故意没有说茉莉,934.8,,,,yes,剧情,0
73,我被电视剧片头曲“模仿”了却无能为力,支持原创,57.8,,,,yes,整体,+
74,BV1BtZJYBE4G.js,谁告诉你工作时长=工作效率的？,1921.7,,,,unknown,,
75,游戏科学新作《黑神话：悟空》13分钟实机演示,这不是游戏，这简直是艺术品！,545.9,,,,yes,整体,+
76,BV1GyZYYNErW.js,"完了,队长被歼灭",1598.4,,,,unknown,,
77,BV1BtZJYBE4G.js,西伯利亚吗？那真的很恐怖了,1255.4,,,,unknown,,
78,BV1GyZYYNErW.js,应该是有些带回去但是发现特别特别难加工所以直接毁了,1706.8,,,,unknown,,
79,BV1BtZJYBE4G.js,人民力量,1069.0,,,,unknown,,
80,如何成为<班级面壁人>,很旧撇了,104.7,,,,yes,整体,-
81,海龟汤（2）,不恐怖？？,165.9,,,,yes,整体,-
82,错位的时空，命运的交织。,看来这个世界的主任和原世界相同，只是没有了脱缰凯,61.2,,,,yes,剧情,0
83,【4K60帧】经典老歌：瑞克·埃斯利《Never ,豪   俊   金   曲,4.5,,,,yes,音乐,+
84,错位的时空，命运的交织。,啊？我还以为是一张非常简陋的画,108.8,,,,yes,画面,-
85,BV1LSoyYqEuU.js,突然想起剧情了,582.8,,,,unknown,,
86,《崩坏：星穹铁道》动画短片：「那安息的长夜」,她真好看,258.7,,,,yes,画面,+
87,BV1BtZJYBE4G.js,献上硬币,2995.8,,,,unknown,,
88,BV1BtZJYBE4G.js,活该挑剔的欧洲人,611.1,,,,unknown,,
89,BV1GyZYYNErW.js,有可能有更高级的材料可以用,1701.5,,,,unknown,,
90,BV1GyZYYNErW.js,俄羅斯比例,4168.3,,,,unknown,,
91,BV1GyZYYNErW.js,很燃，但是又不知道燃什么,1574.8,,,,unknown,,
92,海龟汤（2）,小杨帕金森,24.0,,,,yes,演技,-
93,错位的时空，命运的交织。,我感受到了[生生不息]的激荡,0.2,,,,yes,情感共鸣,+
94,“鲁智深：林冲？好吧那我输的不冤”,这段看了十几遍林冲太帅了，一代宗师,82.7,,,,yes,整体,+
95,"为什么中国人对一道菜的最高评价是""下饭""?",我还是喜欢土豆回锅肉，加上豆瓣的香，味道超级棒,483.9,,,,yes,整体,+
96,震撼世界的72天：巴黎公社为何爆发？又为何失败？【,太可恶了,989.8,,,,yes,情感共鸣,-
97,海龟汤（2）,这也没有《阴森》,363.4,,,,yes,整体,-
98,游戏科学新作《黑神话：悟空》13分钟实机演示,暂停翅膀也没有残影太强了,111.1,,,,yes,细节,+
99,震撼世界的72天：巴黎公社为何爆发？又为何失败？【,认知非常准确,1411.7,,,,yes,细节,+
100,BV1BtZJYBE4G.js,国际歌来了！！！,2935.1,,,,unknown,,
